DDI-DrugBank.d481.s0|82-86|EMCYT|brand
DDI-DrugBank.d561.s7|56-62|lithium|brand
DDI-DrugBank.d561.s7|114-116|ACE|brand
DDI-DrugBank.d561.s7|149-155|lithium|brand
DDI-DrugBank.d561.s8|78-82|serum|group
DDI-DrugBank.d561.s8|84-90|lithium|brand
DDI-DrugBank.d561.s9|40-46|lithium|brand
DDI-DrugBank.d561.s10|73-80|Lotensin|brand
DDI-DrugBank.d561.s10|118-136|hydrochlorothiazide|drug
DDI-DrugBank.d561.s10|139-152|chlorthalidone|drug
DDI-DrugBank.d561.s10|155-164|furosemide|drug
DDI-DrugBank.d561.s10|167-173|digoxin|drug
DDI-DrugBank.d561.s10|176-186|propranolol|drug
DDI-DrugBank.d561.s10|189-196|atenolol|drug
DDI-DrugBank.d561.s10|199-206|naproxen|drug
DDI-DrugBank.d561.s10|212-221|cimetidine|drug
DDI-DrugBank.d561.s11|0-7|Lotensin|brand
DDI-DrugBank.d561.s11|108-116|diuretics|group
DDI-DrugBank.d561.s11|119-125|digoxin|drug
DDI-DrugBank.d561.s11|132-142|hydralazine|drug
DDI-DrugBank.d561.s12|0-9|Benazepril|drug
DDI-DrugBank.d561.s12|23-25|ACE|brand
DDI-DrugBank.d561.s12|141-145|blood|group
DDI-MedLine.d46.s0|33-42|fluoxetine|drug
DDI-MedLine.d46.s0|47-55|cisapride|drug
DDI-MedLine.d46.s1|0-4|STUDY|brand
DDI-MedLine.d46.s1|6-14|OBJECTIVE|brand
DDI-MedLine.d46.s1|43-52|fluoxetine|drug
DDI-MedLine.d46.s1|107-115|cisapride|drug
DDI-MedLine.d46.s2|0-5|DESIGN|brand
DDI-MedLine.d46.s3|0-6|SETTING|brand
DDI-MedLine.d46.s4|0-7|SUBJECTS|brand
DDI-MedLine.d46.s5|0-12|INTERVENTIONS|brand
DDI-MedLine.d46.s6|20-28|cisapride|drug
DDI-MedLine.d46.s8|22-31|fluoxetine|drug
DDI-MedLine.d46.s9|26-34|cisapride|drug
DDI-MedLine.d46.s9|72-81|fluoxetine|drug
DDI-MedLine.d46.s10|0-11|MEASUREMENTS|brand
DDI-MedLine.d46.s10|17-20|MAIN|brand
DDI-MedLine.d46.s10|22-28|RESULTS|brand
DDI-MedLine.d46.s10|31-35|Blood|group
DDI-MedLine.d46.s10|153-161|cisapride|drug
DDI-MedLine.d46.s11|0-4|Blood|group
DDI-MedLine.d46.s13|20-29|fluoxetine|drug
DDI-MedLine.d46.s13|55-63|cisapride|drug
DDI-MedLine.d46.s14|58-59|QT|brand
DDI-MedLine.d46.s14|96-104|cisapride|drug
DDI-MedLine.d46.s14|120-129|fluoxetine|drug
DDI-MedLine.d46.s15|0-8|Cisapride|drug
DDI-MedLine.d46.s15|61-70|fluoxetine|drug
DDI-MedLine.d46.s16|0-9|CONCLUSION|brand
DDI-MedLine.d46.s16|12-20|Cisapride|drug
DDI-MedLine.d46.s16|75-85|therapeutic|brand
DDI-MedLine.d46.s16|98-107|fluoxetine|drug
DDI-DrugBank.d545.s0|0-8|Geocillin|brand
DDI-DrugBank.d545.s0|11-23|carbenicillin|drug
DDI-DrugBank.d545.s0|33-38|sodium|group
DDI-DrugBank.d545.s0|41-45|blood|group
DDI-DrugBank.d545.s0|117-126|probenecid|drug
DDI-DrugBank.d726.s0|0-11|Paricalcitol|drug
DDI-DrugBank.d726.s0|89-92|P450|drug
DDI-DrugBank.d726.s0|94-100|enzymes|group
DDI-DrugBank.d726.s0|102-107|CYP1A2|brand
DDI-DrugBank.d726.s0|110-115|CYP2A6|brand
DDI-DrugBank.d726.s0|118-123|CYP2B6|brand
DDI-DrugBank.d726.s0|126-131|CYP2C8|brand
DDI-DrugBank.d726.s0|134-139|CYP2C9|brand
DDI-DrugBank.d726.s0|142-148|CYP2C19|brand
DDI-DrugBank.d726.s0|151-156|CYP2D6|brand
DDI-DrugBank.d726.s0|158-163|CYP2E1|brand
DDI-DrugBank.d726.s0|168-172|CYP3A|brand
DDI-DrugBank.d726.s0|223-228|CYP2B6|brand
DDI-DrugBank.d726.s0|231-236|CYP2C9|brand
DDI-DrugBank.d726.s0|241-245|CYP3A|brand
DDI-DrugBank.d726.s1|0-0|A|brand
DDI-DrugBank.d726.s1|62-73|ketoconazole|drug
DDI-DrugBank.d726.s1|97-108|paricalcitol|drug
DDI-DrugBank.d726.s1|110-114|AUC0-|brand
DDI-DrugBank.d726.s1|126-137|paricalcitol|drug
DDI-DrugBank.d726.s1|167-171|CYP3A|brand
DDI-DrugBank.d726.s1|177-188|ketoconazole|drug
DDI-DrugBank.d726.s1|241-244|P450|drug
DDI-DrugBank.d726.s1|246-247|3A|brand
DDI-DrugBank.d726.s1|257-260|care|brand
DDI-DrugBank.d726.s1|291-302|paricalcitol|drug
DDI-DrugBank.d726.s1|309-320|ketoconazole|drug
DDI-DrugBank.d726.s1|339-342|P450|drug
DDI-DrugBank.d726.s1|344-345|3A|brand
DDI-DrugBank.d726.s1|368-377|atazanavir|drug
DDI-DrugBank.d726.s1|380-393|clarithromycin|drug
DDI-DrugBank.d726.s1|396-404|indinavir|drug
DDI-DrugBank.d726.s1|407-418|itraconazole|drug
DDI-DrugBank.d726.s1|421-430|nefazodone|drug
DDI-DrugBank.d726.s1|433-442|nelfinavir|drug
DDI-DrugBank.d726.s1|445-453|ritonavir|drug
DDI-DrugBank.d726.s1|456-465|saquinavir|drug
DDI-DrugBank.d726.s1|468-480|telithromycin|drug
DDI-DrugBank.d726.s1|485-496|voriconazole|drug
DDI-DrugBank.d726.s2|19-25|Zemplar|brand
DDI-DrugBank.d726.s2|66-70|serum|group
DDI-DrugBank.d726.s2|72-78|calcium|drug
DDI-DrugBank.d726.s2|184-189|CYP3A4|brand
DDI-DrugBank.d726.s2|209-220|ketoconazole|drug
DDI-DrugBank.d726.s3|55-62|vitamins|group
DDI-DrugBank.d726.s3|73-86|cholestyramine|drug
DDI-DrugBank.d726.s3|126-132|Zemplar|brand
DDI-MedLine.d133.s0|15-23|verapamil|drug
DDI-MedLine.d133.s1|0-9|BACKGROUND|brand
DDI-MedLine.d133.s1|54-61|bombesin|drug
DDI-MedLine.d133.s1|67-75|verapamil|drug
DDI-MedLine.d133.s1|92-100|verapamil|drug
DDI-MedLine.d133.s1|106-112|calcium|drug
DDI-MedLine.d133.s1|228-230|AOM|brand
DDI-MedLine.d133.s2|0-6|METHODS|brand
DDI-MedLine.d133.s2|100-102|AOM|brand
DDI-MedLine.d133.s2|115-118|body|brand
DDI-MedLine.d133.s2|159-166|bombesin|drug
DDI-MedLine.d133.s2|182-185|body|brand
DDI-MedLine.d133.s2|260-268|verapamil|drug
DDI-MedLine.d133.s2|286-289|body|brand
DDI-MedLine.d133.s3|0-6|RESULTS|brand
DDI-MedLine.d133.s3|9-16|Bombesin|drug
DDI-MedLine.d133.s4|9-17|verapamil|drug
DDI-MedLine.d133.s4|122-129|bombesin|drug
DDI-MedLine.d133.s5|0-8|Verapamil|drug
DDI-MedLine.d133.s5|117-124|bombesin|drug
DDI-MedLine.d133.s6|0-9|CONCLUSION|brand
DDI-MedLine.d133.s6|41-49|verapamil|drug
DDI-MedLine.d163.s0|21-31|minocycline|drug
DDI-MedLine.d163.s0|47-56|fosfomycin|drug
DDI-MedLine.d163.s1|54-64|minocycline|drug
DDI-MedLine.d163.s1|80-89|fosfomycin|drug
DDI-MedLine.d163.s1|156-159|MRSA|brand
DDI-MedLine.d163.s2|0-0|A|brand
DDI-MedLine.d163.s2|35-38|MRSA|brand
DDI-MedLine.d163.s3|61-62|IC|brand
DDI-MedLine.d163.s3|71-74|FICI|brand
DDI-MedLine.d163.s3|107-116|antibiotic|brand
DDI-MedLine.d163.s3|131-133|act|drug
DDI-MedLine.d163.s4|31-41|minocycline|drug
DDI-MedLine.d163.s4|47-56|fosfomycin|drug
DDI-MedLine.d163.s5|106-109|FICI|brand
DDI-MedLine.d163.s5|179-180|lt|brand
DDI-MedLine.d163.s5|182-185|FICI|brand
DDI-MedLine.d163.s5|187-188|lt|brand
DDI-MedLine.d163.s6|30-33|FICI|brand
DDI-MedLine.d163.s7|19-29|minocycline|drug
DDI-MedLine.d163.s7|35-44|fosfomycin|drug
DDI-MedLine.d163.s7|73-76|MRSA|brand
DDI-MedLine.d163.s8|90-96|regimen|brand
DDI-MedLine.d163.s8|103-113|therapeutic|brand
DDI-MedLine.d163.s8|148-151|MRSA|brand
DDI-DrugBank.d68.s1|0-6|Digoxin|drug
DDI-DrugBank.d68.s1|42-45|mask|brand
DDI-DrugBank.d68.s1|92-98|digoxin|drug
DDI-DrugBank.d68.s2|80-86|digoxin|drug
DDI-DrugBank.d68.s2|140-150|therapeutic|brand
DDI-DrugBank.d68.s3|20-26|digoxin|drug
DDI-DrugBank.d68.s3|85-93|ibutilide|drug
DDI-DrugBank.d68.s4|0-6|Calcium|drug
DDI-DrugBank.d68.s4|53-59|calcium|drug
DDI-DrugBank.d68.s4|138-146|ibutilide|drug
DDI-DrugBank.d68.s5|145-153|ibutilide|drug
DDI-DrugBank.d424.s0|0-9|Atovaquone|drug
DDI-DrugBank.d424.s1|53-58|MEPRON|brand
DDI-DrugBank.d424.s1|131-141|therapeutic|brand
DDI-DrugBank.d424.s2|40-49|atovaquone|drug
DDI-DrugBank.d424.s2|102-112|therapeutic|brand
DDI-DrugBank.d424.s2|132-140|phenytoin|drug
DDI-DrugBank.d424.s2|178-186|phenytoin|drug
DDI-DrugBank.d424.s2|216-225|atovaquone|drug
DDI-DrugBank.d424.s3|0-7|Rifampin|brand
DDI-DrugBank.d424.s3|30-37|rifampin|brand
DDI-DrugBank.d424.s3|43-48|MEPRON|brand
DDI-DrugBank.d424.s3|127-136|atovaquone|drug
DDI-DrugBank.d424.s4|16-23|rifampin|brand
DDI-DrugBank.d424.s4|67-69|PCP|brand
DDI-DrugBank.d424.s4|86-91|MEPRON|brand
DDI-DrugBank.d424.s5|0-8|Rifabutin|drug
DDI-DrugBank.d424.s5|19-27|rifamycin|drug
DDI-DrugBank.d424.s5|57-64|rifampin|brand
DDI-DrugBank.d424.s5|100-103|same|drug
DDI-DrugBank.d424.s5|126-133|rifampin|brand
DDI-DrugBank.d424.s6|47-52|MEPRON|brand
DDI-DrugBank.d424.s6|58-66|rifabutin|drug
DDI-DrugBank.d424.s7|55-60|MEPRON|brand
DDI-DrugBank.d440.s0|0-6|Calcium|drug
DDI-DrugBank.d440.s1|20-26|calcium|drug
DDI-DrugBank.d440.s1|77-85|magnesium|drug
DDI-DrugBank.d440.s1|88-91|iron|drug
DDI-DrugBank.d440.s1|137-147|Ibandronate|drug
DDI-DrugBank.d440.s2|0-10|Ibandronate|drug
DDI-DrugBank.d440.s2|118-125|antacids|group
DDI-DrugBank.d440.s2|128-138|supplements|group
DDI-DrugBank.d440.s2|143-150|vitamins|group
DDI-DrugBank.d440.s3|0-1|H2|brand
DDI-DrugBank.d440.s4|38-48|Ibandronate|drug
DDI-DrugBank.d440.s4|136-137|H2|brand
DDI-DrugBank.d440.s5|111-121|Ibandronate|drug
DDI-DrugBank.d440.s6|106-116|ibandronate|drug
DDI-DrugBank.d440.s7|111-121|Ibandronate|drug
DDI-DrugBank.d440.s7|188-198|Ibandronate|drug
DDI-DrugBank.d440.s9|63-69|aspirin|brand
DDI-DrugBank.d440.s10|6-12|aspirin|brand
DDI-DrugBank.d440.s10|17-21|NSAID|brand
DDI-DrugBank.d440.s10|110-120|ibandronate|drug
DDI-DrugBank.d440.s11|51-57|aspirin|brand
DDI-DrugBank.d440.s12|80-86|aspirin|brand
DDI-DrugBank.d440.s12|129-139|ibandronate|drug
DDI-DrugBank.d440.s13|15-21|aspirin|brand
DDI-DrugBank.d440.s13|36-50|bisphosphonates|group
DDI-DrugBank.d440.s13|159-165|aspirin|brand
DDI-DrugBank.d440.s13|182-192|Ibandronate|drug
DDI-DrugBank.d440.s15|0-14|Bisphosphonates|group
DDI-DrugBank.d440.s16|22-32|ibandronate|drug
DDI-MedLine.d117.s0|69-71|ras|drug
DDI-MedLine.d117.s0|80-84|serum|group
DDI-MedLine.d117.s1|106-108|ras|drug
DDI-MedLine.d117.s1|117-121|serum|group
DDI-MedLine.d117.s2|40-44|serum|group
DDI-MedLine.d117.s2|47-53|NIH-3T3|brand
DDI-MedLine.d117.s3|66-72|RAS-3T3|brand
DDI-MedLine.d117.s3|125-131|NIH-3T3|brand
DDI-MedLine.d117.s3|136-142|RAS-3T3|brand
DDI-MedLine.d117.s4|13-19|RAS-3T3|brand
DDI-MedLine.d117.s4|120-124|serum|group
DDI-MedLine.d117.s5|10-18|caspase-3|drug
DDI-MedLine.d117.s5|81-87|RAS-3T3|brand
DDI-MedLine.d117.s5|146-152|NIH-3T3|brand
DDI-MedLine.d117.s6|15-23|caspase-3|drug
DDI-MedLine.d117.s6|122-126|serum|group
DDI-MedLine.d117.s6|143-149|NIH-3T3|brand
DDI-MedLine.d117.s7|28-31|hand|drug
DDI-MedLine.d117.s7|84-90|NIH-3T3|brand
DDI-MedLine.d117.s7|105-109|serum|group
DDI-MedLine.d117.s9|51-53|ras|drug
DDI-MedLine.d117.s9|89-97|caspase-3|drug
DDI-MedLine.d41.s0|0-9|Interferon|drug
DDI-MedLine.d41.s1|106-115|interferon|drug
DDI-MedLine.d41.s1|187-192|rabbit|drug
DDI-DrugBank.d131.s0|31-40|alprazolam|drug
DDI-DrugBank.d131.s0|60-62|CNS|brand
DDI-DrugBank.d131.s0|141-155|anticonvulsants|group
DDI-DrugBank.d131.s0|175-181|ethanol|drug
DDI-DrugBank.d131.s0|225-227|CNS|brand
DDI-DrugBank.d131.s1|42-51|imipramine|drug
DDI-DrugBank.d131.s1|57-67|desipramine|drug
DDI-DrugBank.d131.s1|182-191|alprazolam|drug
DDI-DrugBank.d131.s3|19-28|Alprazolam|drug
DDI-DrugBank.d131.s3|56-59|P450|drug
DDI-DrugBank.d131.s3|61-62|3A|brand
DDI-DrugBank.d131.s3|85-94|alprazolam|drug
DDI-DrugBank.d131.s3|148-151|P450|drug
DDI-DrugBank.d131.s3|153-154|3A|brand
DDI-DrugBank.d131.s3|157-159|CYP|brand
DDI-DrugBank.d131.s3|161-162|3A|brand
DDI-DrugBank.d131.s4|90-99|alprazolam|drug
DDI-DrugBank.d131.s5|25-27|CYP|brand
DDI-DrugBank.d131.s5|29-30|3A|brand
DDI-DrugBank.d131.s5|120-129|Alprazolam|drug
DDI-DrugBank.d131.s5|184-193|alprazolam|drug
DDI-DrugBank.d131.s5|217-226|fluoxetine|drug
DDI-DrugBank.d131.s5|233-242|alprazolam|drug
DDI-DrugBank.d131.s5|290-299|alprazolam|drug
DDI-DrugBank.d131.s6|20-31|propoxyphene|brand
DDI-DrugBank.d131.s6|79-88|alprazolam|drug
DDI-DrugBank.d131.s7|86-95|alprazolam|drug
DDI-DrugBank.d131.s8|46-48|CYP|brand
DDI-DrugBank.d131.s8|50-51|3A|brand
DDI-DrugBank.d131.s8|148-157|alprazolam|drug
DDI-DrugBank.d131.s8|200-209|alprazolam|drug
DDI-DrugBank.d131.s8|289-298|alprazolam|drug
DDI-DrugBank.d131.s8|369-378|alprazolam|drug
DDI-DrugBank.d131.s8|421-430|alprazolam|drug
DDI-DrugBank.d131.s8|451-459|diltiazem|drug
DDI-DrugBank.d131.s8|462-470|isoniazid|drug
DDI-DrugBank.d131.s8|503-514|erythromycin|drug
DDI-DrugBank.d131.s8|520-533|clarithromycin|drug
DDI-DrugBank.d131.s8|540-549|grapefruit|drug
DDI-DrugBank.d131.s9|30-39|alprazolam|drug
DDI-DrugBank.d131.s9|82-91|alprazolam|drug
DDI-DrugBank.d131.s9|112-121|sertraline|drug
DDI-DrugBank.d131.s9|127-136|paroxetine|drug
DDI-DrugBank.d131.s10|57-66|alprazolam|drug
DDI-DrugBank.d131.s10|123-132|ergotamine|drug
DDI-DrugBank.d131.s10|135-146|cyclosporine|drug
DDI-DrugBank.d131.s10|149-158|amiodarone|drug
DDI-DrugBank.d131.s10|161-171|nicardipine|drug
DDI-DrugBank.d131.s10|178-187|nifedipine|drug
DDI-DrugBank.d131.s11|72-81|alprazolam|drug
DDI-DrugBank.d257.s0|24-26|CNS|brand
DDI-DrugBank.d257.s0|54-66|Levo-Dromoran|brand
DDI-DrugBank.d257.s0|117-123|alcohol|brand
DDI-DrugBank.d257.s0|154-160|opioids|group
DDI-DrugBank.d257.s0|171-181|anesthetics|group
DDI-DrugBank.d257.s0|184-195|barbiturates|group
DDI-DrugBank.d257.s0|225-238|phenothiazines|group
DDI-DrugBank.d257.s0|265-270|muscle|brand
DDI-DrugBank.d257.s3|32-34|MAO|brand
DDI-DrugBank.d257.s3|51-63|Levo-Dromoran|brand
DDI-DrugBank.d257.s3|119-121|MAO|brand
DDI-DrugBank.d257.s4|56-68|Levo-Dromoran|brand
DDI-DrugBank.d257.s4|106-108|FDA|brand
DDI-DrugBank.d257.s4|277-287|levorphanol|drug
DDI-DrugBank.d257.s5|20-30|levorphanol|drug
DDI-DrugBank.d257.s6|50-59|Analgesics|group
DDI-DrugBank.d257.s6|81-90|analgesics|group
DDI-DrugBank.d257.s6|97-107|pentazocine|drug
DDI-DrugBank.d257.s6|110-119|nalbuphine|drug
DDI-DrugBank.d257.s6|122-132|butorphanol|drug
DDI-DrugBank.d257.s6|135-142|dezocine|drug
DDI-DrugBank.d257.s6|148-160|buprenorphine|drug
DDI-DrugBank.d257.s6|170-172|NOT|brand
DDI-DrugBank.d257.s6|283-291|analgesic|brand
DDI-DrugBank.d257.s6|301-313|Levo-Dromoran|brand
DDI-DrugBank.d257.s7|55-64|analgesics|group
DDI-MedLine.d17.s0|50-57|oxytocin|drug
DDI-MedLine.d17.s1|55-62|oxytocin|drug
DDI-MedLine.d17.s3|34-47|norepinephrine|drug
DDI-MedLine.d17.s3|53-60|oxytocin|drug
DDI-MedLine.d17.s4|43-58|vasoconstriction|group
DDI-MedLine.d17.s4|93-100|oxytocin|drug
DDI-MedLine.d17.s5|52-59|oxytocin|drug
DDI-MedLine.d17.s7|19-32|norepinephrine|drug
DDI-MedLine.d17.s7|47-50|same|drug
DDI-MedLine.d17.s9|91-98|oxytocin|drug
DDI-DrugBank.d512.s0|45-52|CLINICAL|brand
DDI-DrugBank.d512.s0|54-65|PHARMACOLOGY|brand
DDI-DrugBank.d512.s1|10-17|Sensipar|brand
DDI-DrugBank.d512.s1|67-70|P450|drug
DDI-DrugBank.d512.s1|72-74|2D6|brand
DDI-DrugBank.d512.s1|77-82|CYP2D6|brand
DDI-DrugBank.d512.s1|86-93|Sensipar|brand
DDI-DrugBank.d512.s1|130-135|CYP2D6|brand
DDI-DrugBank.d512.s2|93-98|CYP2D6|brand
DDI-DrugBank.d512.s2|118-128|therapeutic|brand
DDI-DrugBank.d512.s2|143-152|flecainide|drug
DDI-DrugBank.d512.s2|155-165|vinblastine|drug
DDI-DrugBank.d512.s2|168-179|thioridazine|drug
DDI-DrugBank.d512.s3|0-12|Amitriptyline|drug
DDI-DrugBank.d512.s3|60-69|cinacalcet|drug
DDI-DrugBank.d512.s3|82-94|amitriptyline|drug
DDI-DrugBank.d512.s3|106-118|amitriptyline|drug
DDI-DrugBank.d512.s3|133-145|nortriptyline|drug
DDI-DrugBank.d512.s3|200-205|CYP2D6|brand
DDI-DrugBank.d512.s4|25-32|Sensipar|brand
DDI-DrugBank.d512.s4|36-43|Sensipar|brand
DDI-DrugBank.d512.s4|84-87|P450|drug
DDI-DrugBank.d512.s4|89-95|enzymes|group
DDI-DrugBank.d512.s4|108-113|CYP3A4|brand
DDI-DrugBank.d512.s4|116-121|CYP2D6|brand
DDI-DrugBank.d512.s4|128-133|CYP1A2|brand
DDI-DrugBank.d512.s5|0-11|Ketoconazole|drug
DDI-DrugBank.d512.s5|14-21|Sensipar|brand
DDI-DrugBank.d512.s5|49-54|CYP3A4|brand
DDI-DrugBank.d512.s6|21-32|ketoconazole|drug
DDI-DrugBank.d512.s6|57-62|CYP3A4|brand
DDI-DrugBank.d512.s6|75-84|cinacalcet|drug
DDI-DrugBank.d512.s6|128-135|Sensipar|brand
DDI-DrugBank.d512.s7|19-26|Sensipar|brand
DDI-DrugBank.d512.s7|48-50|PTH|brand
DDI-DrugBank.d512.s7|56-60|serum|group
DDI-DrugBank.d512.s7|62-68|calcium|drug
DDI-DrugBank.d512.s7|174-179|CYP3A4|brand
DDI-DrugBank.d512.s7|198-209|ketoconazole|drug
DDI-DrugBank.d512.s7|212-223|erythromycin|drug
DDI-DrugBank.d512.s7|226-237|itraconazole|drug
DDI-DrugBank.d512.s8|4-9|DOSAGE|brand
DDI-DrugBank.d512.s8|11-13|AND|brand
DDI-DrugBank.d512.s8|15-28|ADMINISTRATION|brand
DDI-DrugBank.d169.s0|81-88|REVLIMID|brand
DDI-DrugBank.d169.s0|92-103|lenalidomide|drug
DDI-DrugBank.d169.s0|171-174|P450|drug
DDI-DrugBank.d169.s0|200-211|lenalidomide|drug
DDI-DrugBank.d169.s1|48-59|lenalidomide|drug
DDI-DrugBank.d169.s1|114-115|R-|brand
DDI-DrugBank.d169.s1|121-122|S-|brand
DDI-DrugBank.d169.s1|124-131|warfarin|drug
DDI-DrugBank.d169.s2|39-46|warfarin|drug
DDI-DrugBank.d169.s2|95-106|lenalidomide|drug
DDI-DrugBank.d169.s3|46-47|PT|brand
DDI-DrugBank.d169.s3|53-55|INR|brand
DDI-DrugBank.d169.s3|77-84|warfarin|drug
DDI-DrugBank.d169.s3|153-164|lenalidomide|drug
DDI-DrugBank.d193.s0|0-0|A|brand
DDI-DrugBank.d193.s0|48-54|ERBITUX|brand
DDI-DrugBank.d193.s0|93-102|irinotecan|drug
DDI-DrugBank.d193.s1|66-72|ERBITUX|brand
DDI-DrugBank.d193.s1|78-87|irinotecan|drug
DDI-DrugBank.d456.s0|29-34|CYP3A4|brand
DDI-DrugBank.d456.s0|46-57|ketoconazole|drug
DDI-DrugBank.d456.s0|69-77|erlotinib|drug
DDI-DrugBank.d456.s0|79-81|AUC|brand
DDI-DrugBank.d456.s1|52-58|TARCEVA|brand
DDI-DrugBank.d456.s1|65-76|ketoconazole|drug
DDI-DrugBank.d456.s1|95-100|CYP3A4|brand
DDI-DrugBank.d456.s1|142-151|atazanavir|drug
DDI-DrugBank.d456.s1|154-167|clarithromycin|drug
DDI-DrugBank.d456.s1|170-178|indinavir|drug
DDI-DrugBank.d456.s1|181-192|itraconazole|drug
DDI-DrugBank.d456.s1|195-204|nefazodone|drug
DDI-DrugBank.d456.s1|207-216|nelfinavir|drug
DDI-DrugBank.d456.s1|219-227|ritonavir|drug
DDI-DrugBank.d456.s1|230-239|saquinavir|drug
DDI-DrugBank.d456.s1|242-254|telithromycin|drug
DDI-DrugBank.d456.s1|257-270|troleandomycin|drug
DDI-DrugBank.d456.s1|273-275|TAO|drug
DDI-DrugBank.d456.s1|283-294|voriconazole|drug
DDI-DrugBank.d456.s2|23-28|CYP3A4|brand
DDI-DrugBank.d456.s2|38-47|rifampicin|drug
DDI-DrugBank.d456.s2|59-67|erlotinib|drug
DDI-DrugBank.d456.s2|69-71|AUC|brand
DDI-DrugBank.d456.s3|29-34|CYP3A4|brand
DDI-DrugBank.d456.s4|46-52|TARCEVA|brand
DDI-DrugBank.d456.s4|104-108|NSCLC|brand
DDI-DrugBank.d456.s5|7-13|TARCEVA|brand
DDI-DrugBank.d456.s5|97-106|rifampicin|drug
DDI-DrugBank.d456.s6|6-11|CYP3A4|brand
DDI-DrugBank.d456.s6|55-63|rifabutin|drug
DDI-DrugBank.d456.s6|66-76|rifapentine|drug
DDI-DrugBank.d456.s6|79-87|phenytoin|drug
DDI-DrugBank.d456.s6|90-102|carbamazepine|drug
DDI-DrugBank.d456.s6|105-117|phenobarbital|drug
DDI-DrugBank.d456.s7|83-89|TARCEVA|brand
DDI-DrugBank.d456.s9|34-40|TARCEVA|brand
DDI-DrugBank.d456.s10|76-84|erlotinib|drug
DDI-DrugBank.d456.s11|11-19|erlotinib|drug
DDI-DrugBank.d456.s12|95-97|INR|brand
DDI-DrugBank.d456.s12|288-295|warfarin|drug
DDI-DrugBank.d456.s13|16-23|warfarin|drug
DDI-DrugBank.d456.s13|54-67|anticoagulants|group
DDI-DrugBank.d456.s13|114-124|prothrombin|drug
DDI-DrugBank.d456.s13|134-136|INR|brand
DDI-MedLine.d89.s0|0-10|Therapeutic|brand
DDI-MedLine.d89.s0|102-104|MDP|brand
DDI-MedLine.d89.s1|0-9|Gentamicin|drug
DDI-MedLine.d89.s1|32-41|antibiotic|brand
DDI-MedLine.d89.s2|27-36|gentamicin|drug
DDI-MedLine.d89.s4|78-81|mask|brand
DDI-MedLine.d89.s5|0-0|A|brand
DDI-MedLine.d89.s5|25-35|therapeutic|brand
DDI-MedLine.d89.s5|48-57|gentamicin|drug
DDI-MedLine.d89.s7|0-10|Therapeutic|brand
DDI-MedLine.d89.s7|29-31|TDM|brand
DDI-MedLine.d89.s7|37-46|gentamicin|drug
DDI-MedLine.d89.s8|79-88|gentamicin|drug
DDI-MedLine.d89.s8|127-136|gentamicin|drug
DDI-DrugBank.d43.s0|20-24|VIDEX|brand
DDI-DrugBank.d43.s0|118-125|WARNINGS|brand
DDI-DrugBank.d43.s1|119-127|stavudine|drug
DDI-DrugBank.d43.s1|195-199|VIDEX|brand
DDI-DrugBank.d43.s1|214-220|ADVERSE|brand
DDI-DrugBank.d43.s1|222-230|REACTIONS|brand
DDI-DrugBank.d43.s2|0-10|Allopurinol|drug
DDI-DrugBank.d43.s2|17-19|AUC|brand
DDI-DrugBank.d43.s2|24-33|didanosine|drug
DDI-DrugBank.d43.s2|67-77|allopurinol|drug
DDI-DrugBank.d43.s2|141-145|VIDEX|brand
DDI-DrugBank.d43.s3|15-25|allopurinol|drug
DDI-DrugBank.d43.s3|30-39|didanosine|drug
DDI-DrugBank.d43.s4|0-7|Antacids|group
DDI-DrugBank.d43.s4|40-47|antacids|group
DDI-DrugBank.d43.s4|60-68|magnesium|drug
DDI-DrugBank.d43.s4|87-91|VIDEX|brand
DDI-DrugBank.d43.s4|160-167|Solution|brand
DDI-DrugBank.d43.s4|219-225|antacid|brand
DDI-DrugBank.d43.s5|93-104|ketoconazole|drug
DDI-DrugBank.d43.s5|110-121|itraconazole|drug
DDI-DrugBank.d43.s5|184-188|VIDEX|brand
DDI-DrugBank.d43.s6|0-10|Ganciclovir|group
DDI-DrugBank.d43.s6|31-35|VIDEX|brand
DDI-DrugBank.d43.s6|78-88|ganciclovir|group
DDI-DrugBank.d43.s6|152-154|AUC|brand
DDI-DrugBank.d43.s6|159-168|didanosine|drug
DDI-DrugBank.d43.s7|0-0|A|brand
DDI-DrugBank.d43.s7|40-42|AUC|brand
DDI-DrugBank.d43.s7|47-57|ganciclovir|group
DDI-DrugBank.d43.s7|77-81|VIDEX|brand
DDI-DrugBank.d43.s7|117-127|ganciclovir|group
DDI-DrugBank.d43.s8|23-27|VIDEX|brand
DDI-DrugBank.d43.s8|105-117|ciprofloxacin|drug
DDI-DrugBank.d43.s8|152-164|ciprofloxacin|drug
DDI-DrugBank.d43.s8|203-210|antacids|group
DDI-DrugBank.d43.s8|223-231|magnesium|drug
DDI-DrugBank.d43.s8|234-240|calcium|drug
DDI-DrugBank.d43.s9|49-51|AUC|brand
DDI-DrugBank.d43.s9|56-68|ciprofloxacin|drug
DDI-DrugBank.d43.s9|107-108|CI|brand
DDI-DrugBank.d43.s9|127-139|ciprofloxacin|drug
DDI-DrugBank.d43.s9|229-233|VIDEX|brand
DDI-DrugBank.d43.s10|4-6|AUC|brand
DDI-DrugBank.d43.s10|11-23|ciprofloxacin|drug
DDI-DrugBank.d43.s10|90-102|ciprofloxacin|drug
DDI-DrugBank.d43.s11|38-50|ciprofloxacin|drug
